"Organization Name","Last Funding Date","Total Funding Amount","Stage","Industries","Headquarters Location","Description","CB Rank (Company)","Website","Estimated Revenue Range","Top 5 Investors","Lead Investors"
"RenX Enterprises","Feb 13, 2026","$16,380,000","Not Started","Construction, Green Building, Real Estate","Miami, Florida, United States","RenX Enterprises is a real estate development company specializing in projects utilizing purpose-built, prefabricated modules.","14,950","https://www.sgdevco.com/","Less than $1M","Arena Investors","Arena Investors"
"n-Ink","Feb 17, 2026","€7,500,000","Not Started","Electronics, Internet of Things, Printing","Linköping, Ostergotlands Lan, Sweden","N-Ink provides n-type ink which is compatible with Printed Electronics, the Internet of Things, and Bioelectronics.","14,990","https://www.n-ink.com/","$1M to $10M","Voima Ventures, EIC Accelerator","EIC Accelerator, Voima Ventures"
"Kampaay","Feb 12, 2026","$13,313,896","Not Started","Catering, Enterprise Software, Event Management, Events, Marketplace, SaaS","Milano, Lombardia, Italy","Kampaay is the solution for Event Management: it simplifies and digitises the management and organisation of your corporate events","15,079","https://www.kampaay.com/","$1M to $10M","CDP Venture Capital, 360 Capital, Kairos Partners, Doorway, Azimut Digitech Fund","360 Capital, CDP Venture Capital, SG Company"
"BioSort","Feb 23, 2026","NOK100,000,000","Not Started","Consulting, Software","Fornebu, Akershus, Norway","BioSort provides health development and biometrics identification for optimization.","15,135","https://www.biosort.no/?lang=en","$1M to $10M","Ichthus Venture Capital, Hatch Blue Ltd, Farvatn Venture, Futurum Ventures, Grieg Kapital","—"
"Zengun AB","Feb 6, 2026","SEK750,000,000","Not Started","Construction","Kista, Stockholms Lan, Sweden","Zengun AB offers construction contracting services to private and public property developers.","15,464","https://zengun.se/sv/","$100M to $500M","—","—"
"NuVision","Feb 5, 2026","$14,242,380","Not Started","Biotechnology, Quality Assurance, Therapeutics","Nottingham, Nottingham, United Kingdom","NuVision™ is a biotechnology research and development spin out company from the University of Nottingham","15,562","http://www.nu-vision.co.uk/","$1M to $10M","Mercia Ventures, University of Nottingham, Mercia Fund Managers, Pioneer Group, Newable Private Investing","MEIF Proof-of-Concept & Early Stage Fund, Mercia Fund Managers, Mercia Ventures"
"Fabbrica Italiana Sintetici","Feb 5, 2026","€770,000,000","Not Started","Chemical, Industrial, Manufacturing","Montecchio Maggiore, Veneto, Italy","Fabbrica Italiana Sintetici is an Italian company specialized in the production of chemical products for the pharmaceutical industry.","15,643","https://fisvi.com/","Less than $1M","—","—"
"Moon","Mar 4, 2026","$11,708,707","Not Started","Internet","New York, New York, United States","Moon delivers secure and empowering technology for financial solutions that increase financial access","15,658","https://moonte.ch/","$1M to $10M","MoonPay, Creative Destruction Lab (CDL), Diverse Angels, Sprint Vc, New Form Capital","Creative Destruction Lab (CDL)"
"Early Bird Medical","Feb 13, 2026","$25,200,471","Not Started","Health Care, Medical, Medical Device, Women's","Malvern, Pennsylvania, United States","Early Bird Medical is a medical device company that develops products for rapid postpartum hemorrhage intervention.","15,695","https://www.earlybirdmed.com/","—","—","—"
"Folio Photonics","Feb 25, 2026","$22,301,174","Not Started","Data Storage, Hardware, Information Technology, Software","Solon, Ohio, United States","Folio Photonics reinvents archival storage with optical storage technology.","15,721","http://foliophotonics.com/","$1M to $10M","National Science Foundation, Refinery Ventures, Capital One Ventures","National Science Foundation, Refinery Ventures"
"Crescent Midstream","Feb 18, 2026","$600,000,000","Not Started","Energy, Oil and Gas, Transportation","Gray, Louisiana, United States","Crescent Midstream is an energy company that provides reliable crude oil transportation services.","15,752","https://crescentmidstream.com/","$100M to $500M","—","—"
"P2 Science","Feb 23, 2026","$26,550,011","Not Started","Biotechnology, Chemical, Renewable Energy","Woodbridge, Connecticut, United States","P2 Science develops a bio-refining process for the conversion of biomass such as vegetable oils into high-value specialty chemicals.","15,871","http://www.p2science.com/","$10M to $50M","L'AcceleratOR, Connecticut Innovations, Heritage Group, Webster Bank, Lewis & Clark AgriFood","BASF Venture Capital, CHANEL, Connecticut Innovations, HG Ventures, L'AcceleratOR, Lewis & Clark AgriFood, Webster Bank, Xeraya Capital"
"RAIKU","Feb 23, 2026","€9,920,000","Not Started","CleanTech, GreenTech, Manufacturing, Packaging Services","Tallinn, Harjumaa, Estonia","RAIKU is a Cleantech firm offering packaging and containers manufacturing servcies with low carbon footprint to substitute plastics.","15,885","https://www.raiku.co/","$1M to $10M","L'AcceleratOR, European Innovation Council, Prototron, Enterprise Estonia, EstBAN","European Innovation Council, L'AcceleratOR, Prototron"
"Cylake","Mar 6, 2026","$45,000,000","Not Started","Artificial Intelligence (AI), Cyber Security","Sunnyvale, California, United States","Cylake is an AI-driven cybersecurity technology company developed to protect from cyberattacks.","15,898","https://cylake.com/","—","Greylock","Greylock"
"XWELL","Feb 24, 2026","$36,700,000","Not Started","Health Care, Leisure, Wellness","New York, New York, United States","XWELL is a global health and wellness holding company.","16,013","https://www.xwell.com/","$10M to $50M","American Ventures","American Ventures"
"MasteryPrep","Feb 27, 2026","$17,050,000","Not Started","Education, E-Learning, Tutoring","Baton Rouge, Louisiana, United States","MasteryPrep offers a college and career readiness preparation program to fit its client’s school’s needs and schedule.","16,064","http://masteryprep.com/","$10M to $50M","Advantage Capital, Innovation Catalyst, Maple Leaf Angels, Liquid Ventures, Cambridge Trust Company","Cambridge Trust Company, Innovation Catalyst, The Catalyst Group"
"KALA BIO","Feb 12, 2026","$578,866,345","Not Started","Biotechnology, Health Care, Medical, Pharmaceutical","Waltham, Massachusetts, United States","Kala Bio develops novel treatments for diseases that affect mucosal tissues.","16,218","https://www.kalarx.com/","$1M to $10M","RA Capital Management, Wellington Management, Cormorant Asset Management, Vivo Capital, Lux Capital","Athyrium Capital Management LP, Crown Venture Fund, David Lazar, Longitude Capital, Oxford Finance LLC, SR One, Ysios Capital"
"NexEos Bio","Feb 17, 2026","$25,694,546","Not Started","Health Care, Health Diagnostics, Medical","Pottstown, Pennsylvania, United States","NexEos Bio detects, diagnoses, treats, and life-long manages patients living with chronic, eosinophil-related inflammatory diseases.","16,266","https://www.nexeosbio.com/","$1M to $10M","Altitude Lab","Altitude Lab"
"Amer Sports","Mar 3, 2026","$2,852,000,000","Not Started","Consumer Goods, Sporting Goods, Sports","Helsinki, Southern Finland, Finland","Amer Sports is a sporting goods company with internationally recognized brands including Salomon, Wilson, Atomic, Arc’teryx, Mavic, Suunto.","16,468","https://www.amersports.com/","$1B to $10B","—","—"
"XDemics","Feb 6, 2026","$12,943,623","Not Started","Biopharma, Biotechnology, Medical, Wellness","Novato, California, United States","XDemics is a biotechnology research company that offers advanced cell and viral-based therapeutics.","16,619","https://xdemics.com/","—","—","—"
"Contango ORE","Feb 11, 2026","$165,400,000","Not Started","Mineral, Mining, Precious Metals","Fairbanks, Alaska, United States","Contango ORE focuses on the exploration of gold, silver, and copper ores.","16,625","https://www.contangoore.com/","$100M to $500M","Queen's Road Capital","Queen's Road Capital"
"MPLX","Feb 5, 2026","$11,628,170,000","Not Started","Energy, Logistics, Oil and Gas","Findlay, Ohio, United States","MPLX owns, leases or has ownership interest in approximately 2,900 miles of pipeline across nine states.","16,663","https://www.mplx.com/","$10B+","Stonepeak, Energy & Minerals Group, Kayne Anderson Capital Advisors, Magnetar Capital","—"
"Kenetik","Feb 6, 2026","$10,663,024","Not Started","Dietary Supplements, Food and Beverage, Nutrition","Halethorpe, Maryland, United States","Kenetik is a nutrition food and beverages company that offers healthy ketone energy drinks.","16,697","https://drinkkenetik.com/","—","—","—"
"Based","Feb 22, 2026","$14,200,000","Not Started","Cryptocurrency, Payments, SaaS, Subscription Service","New City, New York, United States","Based offers products that help businesses accept crypto payments.","16,827","https://based.one/","—","Coinbase Ventures, Pantera Capital, Karatage, Hashed, Terra","Delphi Ventures, Mastercard Start Path, Pantera Capital"
"Catheter Precision","Feb 12, 2026","$38,000,000","Not Started","Manufacturing, Medical, Medical Device, Robotics","Fort Mill, South Carolina, United States","Catheter Robotics is a medical device development and manufacturing company.","16,923","http://www.catheterprecision.com/","Less than $1M","—","—"
"CyberUpgrade","Feb 19, 2026","€9,150,000","Not Started","Cyber Security, Information Technology, SaaS, Social Media","Vilnius, Vilniaus Apskritis, Lithuania","CyberUpgrade is a cyber security platform that help clients protect their data, assets, and reputation.","17,068","https://cyberupgrade.net/","—","Superhero Capital, Specialist VC, Iron Wolf Capital, FIRSTPICK, NGL","FIRSTPICK, Iron Wolf Capital, NGL"
"Kinder Institute for Urban Research","Mar 5, 2026","$55,000,000","Not Started","Consulting, Education, Information Services","Houston, Texas, United States","Kinder Institute for Urban Research offers data solutions to urban issues, education, governance, transportation, and demographics.","17,163","https://kinder.rice.edu/","—","Kinder Foundation","Kinder Foundation"
"Okyo Pharma","Feb 12, 2026","$33,147,750","Not Started","Biotechnology, Health Care, Medical, Pharmaceutical","London, England, United Kingdom","Okyo Pharma focuses on novel GPCR based therapeutics for eye diseases of high unmet need and non-opioid analgesics for chronic pain.","17,170","https://www.okyopharma.com/","$1M to $10M","—","—"
"CancerNavigator","Feb 18, 2026","$6,999,996","Not Started","Analytics, Health Care, Oncology","Washington, District of Columbia, United States","CancerNavigator offers cancer navigation and analytics, connecting patients with care experts and providing personalized support.","17,237","https://www.cancernavigator.com/","—","Oncology Ventures","Oncology Ventures"
"Trinity Biotech","Feb 25, 2026","$275,760,000","Not Started","Biotechnology, Consulting, Health Diagnostics","Bray, Wicklow, Ireland","Trinity Biotech is a commercial-stage biotechnology company focused on human diagnostics and diabetes management solutions.","17,300","http://trinitybiotech.com/","$50M to $100M","Perceptive Advisors, Yorkville Advisors, MiCo, Fondren Management","Fondren Management, MiCo, Perceptive Advisors, Yorkville Advisors"
"Lendbuzz","Feb 11, 2026","$2,596,913,848","Not Started","Artificial Intelligence (AI), Financial Services, FinTech, Lending","Boston, Massachusetts, United States","Lendbuzz is a car financing platform that helps consumers with thin U.S. credit history obtain financing for their car purchase.","17,358","https://lendbuzz.com/","$100M to $500M","Wellington Management, Goldman Sachs, 83North, Royal Bank of Canada, JP Morgan","83North, Arkin Holdings, BHI, ConnectOne Bank, Goldman Sachs, Goldman Sachs Bank USA, Group1001, HighSage Ventures, International Development Bank, JP Morgan, Mivtach Shamir Holdings LTD, Mizuho Americas, O.G. Venture Partners, Royal Bank of Canada, Viola Credit, Wellington Management"
"Arkansas Tech University","Feb 26, 2026","$26,927,208","Not Started","EdTech, Education, Training","Russellville, Arkansas, United States","Arkansas Tech University is a school in Russellville.","17,404","http://www.atu.edu/","$50M to $100M","National Science Foundation, Arkansas Department of Transportation, U.S. Department of Education, Windgate Foundation, Arkansas Office of Skills Development","Arkansas Department of Transportation, Arkansas Natural and Cultural Resources Council, Arkansas Office of Skills Development, Child Care Access Means Parents in School program, National Science Foundation, U.S. Department of Education, Windgate Foundation"
"OTP Leasing","Feb 9, 2026","€40,000,000","Not Started","Financial Services, Leasing, Personal Finance","Bucharest, Bucuresti, Romania","OTP Leasing is a financial firm that offers used cars, leasing, angel investment, and personal finance.","17,536","https://www.otp-leasing.ro/en/","$10M to $50M","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development"
"Hope for the Warriors","Feb 18, 2026","$6,000,000","Not Started","Communities, Military, Non Profit","Springfield, Virginia, United States","Hope for the Warriors is a nonprofit organization that restores the sense of self, family and hope for military and service members.","17,571","https://www.hopeforthewarriors.org/","—","Lilly Endowment, Bob Woodruff Foundation","Bob Woodruff Foundation, Lilly Endowment"
"Southern California Edison","Feb 20, 2026","$3,500,000,000","Not Started","Communications Infrastructure, Electrical Distribution, Energy, Sustainability","Rosemead, California, United States","Southern California Edison (SCE), an Edison International company, is one of the nation’s largest investor-owned utilities.","17,673","https://www.sce.com/","Less than $1M","Wells Fargo","Wells Fargo"
"Essential Properties","Feb 18, 2026","$4,554,449,993","Not Started","Commercial Real Estate, Property Management, Real Estate","Princeton, New Jersey, United States","Essential Properties acquires, owns and manages primarily single-tenant properties leased to middle-market companies.","17,674","https://essentialproperties.com/","$100M to $500M","—","—"
"Anglian Water Group","Feb 16, 2026","£1,100,000,000","Not Started","Commercial, Customer Service, Water","Huntingdon, Cambridgeshire, United Kingdom","Anglian Water Group mainly operates Anglian Water, which serves more than six million consumers through its water and sewerage systems.","17,681","https://www.awg.com/","$1B to $10B","—","—"
"Great Lakes Dredge & Dock Company","Feb 11, 2026","$100,000,000","Not Started","Clean Energy, Service Industry, Water","Oak Brook, Illinois, United States","Great Lakes Dredge & Dock Company is a marine construction and dredging company that provides water-based infrastructure services.","17,873","http://www.gldd.com/","$500M to $1B","Wells Fargo, Bank of America, PNC Bank, US Bank","—"
"Dentologie","Feb 7, 2026","$50,662,024","Not Started","Dental, Health Care, Medical","Chicago, Illinois, United States","Dentologie is a dental clinic that offers services like general dentistry, Invisalign, oral surgeries, and cosmetic dentistry.","18,132","https://www.dentologie.com/","$1M to $10M","Alumni Ventures, Warburg Pincus, Beringea, Hyde Park Venture Partners, C&S Family Capital","—"
"Gyala","Mar 2, 2026","€9,000,000","Not Started","Cyber Security, Information Technology, Software","Rome, Lazio, Italy","Gyala primarily offers cybersecurity solutions.","18,187","https://gyala.com/","$1M to $10M","CDP Venture Capital, Ventive Group, Italian Angels for Growth, Deep Ocean Capital, Azimut Libera Impresa","CDP Venture Capital, Deep Ocean Capital"
"Ignium","Feb 11, 2026","$300,000,000","Not Started","Manufacturing, Productivity Tools, Space Travel","Rockville, Maryland, United States","Ignium provides software, power, energetic, and pyrotechnic products in weapon systems that serve defense companies.","18,248","https://ignium.com/","—","Jerry Lundquist, Albion River, Greg Brown, Kevin McCarthy, Gregory D Smith","Albion River"
"LainaHealth","Feb 26, 2026","$31,746,834","Not Started","Artificial Intelligence (AI), Health Care, Information Technology, Medical Device, Rehabilitation, Therapeutics, Virtual Assistant","Dublin, Ohio, United States","LainaHealth provides an AI-powered virtual platform for physical therapy, connecting therapists and patients for remote care management.","18,272","https://www.lainahealth.com/","$1M to $10M","Rev1 Ventures, CincyTech, Tamarind Hill, Orgain, United States Air Force","CincyTech, Orgain, United States Air Force"
"Urbaser","Feb 12, 2026","€1,000,000,000","Not Started","Environmental Consulting, Environmental Engineering, Recycling, Transportation, Waste Management, Water","Madrid, Madrid, Spain","Urbaser is an environmental solutions company that specializes in waste collection and street cleaning services for the municipality.","18,559","http://www.urbaser.es/","$1M to $10M","Blackstone Group","—"
"W. P. Carey","Feb 17, 2026","$6,308,064,469","Not Started","Consulting, Real Estate, Real Estate Investment","New York, New York, United States","W. P. Carey Inc. is a publicly traded REIT (NYSE: WPC) that provides long-term sale-leaseback and build-to-suit financing for companies","18,730","http://wpcarey.com/","$1B to $10B","JP Morgan Chase, Wells Fargo, BNY, Royal Bank of Canada, Scotiabank","—"
"NexCure","Mar 5, 2026","$19,000,000","Not Started","Therapeutics","Boston, Massachusetts, United States","NexCure offers clinically intense therapies in outpatient, community settings, and other cutting-edge treatments.","18,739","https://nexcure.com/","—","RA Capital Management, Oncology Ventures, Cencora Ventures","RA Capital Management"
"Light Wave","Feb 17, 2026","$42,013,670","Not Started","Accounting, Analytics, Business Development, Dental, Marketing, Recruiting","Woodbridge, Virginia, United States","Light Wave Dental provides non-clinical management services for dental organizations.","18,740","https://www.lightwavedental.com/","—","Lindsay Goldberg","Lindsay Goldberg"
"Howmet Aerospace","Feb 17, 2026","$2,800,000,000","Not Started","Aerospace, Manufacturing, Transportation","Pittsburgh, Pennsylvania, United States","Howmet Aerospace produces jet engine components, aerospace fasteners, and forged wheels for aerospace and defense applications.","18,896","https://www.howmet.com/","$1B to $10B","—","—"
"Pinion Insurance","Feb 17, 2026","$180,000,000","Not Started","Insurance","London, England, United Kingdom","Pinion will provide insurance capacity for managing general agents (MGAs) in the US, UK, and European markets.","19,001","https://www.pinioninsurance.com/","—","Barings","Barings"
"Praeventix","Feb 13, 2026","$14,131,005","Not Started","Biotechnology, Health Care, Medical, Therapeutics","Exton, Pennsylvania, United States","Praeventix is a biotechnology company developing therapeutics to treat bowel diseases.","19,003","https://praeventix.com/","$1M to $10M","Tellus BioVentures","—"
"iMDx","Feb 11, 2026","$138,324,362","Not Started","Biotechnology, Health Care, Hospital, Medical Device","Nashville, Tennessee, United States","iMDx is a biotech company helping save lives and improve outcomes by accelerating and optimizing the diagnosis and treatment of cancer.","19,009","https://imdxinc.com/","$1M to $10M","Bio-Rad Laboratories","Bio-Rad Laboratories"
"Hypha","Feb 16, 2026","£5,000,000","Not Started","Business Development, Venture Capital","London, England, United Kingdom","Hypha provides private equity investment and business growth support services.","19,027","https://www.hypha.pe/","—","OakNorth","OakNorth"
"Fund Street Technologies","Feb 5, 2026","$66,500,000","Not Started","Direct Marketing, Financial Services, Internet","Miami, Florida, United States","Fund Street Technologies is a technology-driven business financing platform.","19,133","https://www.fundstreet.tech/","$1M to $10M","—","—"
"Moncada Energy Group","Feb 23, 2026","$52,162,201","Not Started","—","San Francisco, California, United States","Moncada Energy Group is a renewable energy production company that produces energy based on biomass, small wind, and photovoltaic energy.","19,141","http://moncadaenergy.us/","—","Fabio Ficano","—"
"Battalion Oil","Mar 3, 2026","$35,000,000","Not Started","Energy, Industrial, Oil and Gas","Houston, Texas, United States","Battalion Oil is an independent energy company that produced acquisition, production, exploration and development of liquids-rich assets.","19,149","https://battalionoil.com/","$100M to $500M","—","—"
"Raiffeisen Bank Croatia","Feb 19, 2026","€225,600,000","Not Started","Banking, Credit, Finance, Financial Services","Zagreb, Grad Zagreb, Croatia","Raiffeisen Bank Croatia is a financial organisation that provides banking facilities to individuals and corporations.","19,166","http://www.rba.hr/","$1B to $10B","European Bank for Reconstruction and Development","European Bank for Reconstruction and Development"
"Natural World Products","Feb 19, 2026","$33,389,278","Not Started","Environmental Engineering, Recycling","Belfast, Belfast, United Kingdom","Natural World Products is an organics recycling company at the forefront of the professionalization of the recycling sector.","19,252","https://www.naturalworldproducts.com/","$10M to $50M","HSBC, MML Growth Capital Partners Ireland, 57 Stars, Department of Agriculture, Environment and Rural Affairs, Small Business Research Initiative","Department of Agriculture, Environment and Rural Affairs, HSBC, Industrial Energy Transformation Fund, MML Growth Capital Partners Ireland, Small Business Research Initiative"
"Boliden Group","Feb 13, 2026","$2,047,605,391","Not Started","Environmental Engineering, Mining, Precious Metals","Stockholm, Stockholms Lan, Sweden","Boliden is a metals company in the fields of exploration, mining, smelting, and metals recycling.","19,257","http://www.boliden.com/","$1B to $10B","BNP Paribas, Royal Bank of Canada, Nordea, SEK, Swedbank","SEK, Swedish Energy Agency"
"GalenusRx","Feb 18, 2026","$14,216,146","Not Started","—","Fernandina Beach, Florida, United States","GalenusRx is a healthcare company.","19,282","https://galenusrx.com/","—","—","—"
"Alternatifbank","Feb 6, 2026","$200,000,000","Not Started","Banking, Financial Services","Istanbul, Istanbul, Turkey","Alternatifbank ovides a range of banking products and services to corporate, commercial, and retail customers in Turkey.","19,358","https://www.alternatifbank.com.tr/","$100M to $500M","—","—"
"Genesis Energy","Feb 18, 2026","$3,250,000,000","Not Started","Energy, Logistics, Oil and Gas","Seminole, Texas, United States","Genesis Energy is a midstream energy master limited partnership headquartered in Houston, Texas, with a diverse portfolio of","19,411","https://www.genesisenergy.com/","$1B to $10B","Blackstone Credit, Kohlberg Kravis Roberts & Co.","—"
"TaskUs","Feb 25, 2026","$879,000,000","Not Started","Call Center, Customer Service, Outsourcing","Santa Monica, California, United States","TaskUs is a customer care and back office support company that helps companies provide exceptional experiences for their customers.","19,616","http://taskus.com/","$500M to $1B","Blackstone Group, Navegar, Think Investments, Bridge Bank","Blackstone Group, Navegar"
"MedinCell","Mar 5, 2026","$260,752,417","Not Started","Pharmaceutical","Jacou, Languedoc-Roussillon, France","MedinCell is an injectable slow-release drug specialist company.","19,690","https://www.medincell.com/","$10M to $50M","European Investment Bank, Bpifrance, Bill & Melinda Gates Foundation, Wellington Management, Seventure Partners","Bill & Melinda Gates Foundation, Bpifrance, Crédit Mutuel Equity, European Investment Bank, French Recovery Plan, Unitaid"
"RIFT","Mar 3, 2026","€126,800,000","Not Started","Clean Energy, Renewable Energy","Eindhoven, Noord-Brabant, The Netherlands","RIFT is a startup on a mission towards a sustainable future that is powered by clean and renewable energy.","19,761","https://www.ironfueltechnology.com/","$10M to $50M","Invest-NL, Breakthrough Energy Ventures, Rubio Impact Ventures, BOM, OostNL","PGGM Investments, Rubio Impact Ventures, The European Innovation Fund"
"Eversource Energy","Feb 23, 2026","$2,989,000,000","Not Started","Delivery, Electrical Distribution, Energy, Energy Efficiency, Natural Resources, Oil and Gas, Renewable Energy, Staffing Agency","Hartford, Connecticut, United States","Eversource transmits and delivers electricity and natural gas for more than 3.6 million electric and natural gas customers.","19,873","https://www.eversource.com/","$10B+","US Department of Energy","US Department of Energy"
"Rainbow Crops","Mar 4, 2026","$7,000,000","Not Started","Agriculture, AgTech, Artificial Intelligence (AI)","Gent, Oost-Vlaanderen, Belgium","Rainbow Crops is a next-generation Agtech company developing climate-resilient, high-performing crop varieties.","19,903","https://www.rainbowcrops.com/","—","Bill & Melinda Gates Foundation, Qbic Fund, PINC, Agri Investment Fund","Bill & Melinda Gates Foundation"
"BeDimensional","Feb 11, 2026","€30,000,000","Not Started","Chemical, Manufacturing, Nanotechnology","Genova, Liguria, Italy","BeDimensional is a global manufacturer of graphene and other two-dimensional materials with few atomic layers.","20,131","https://www.bedimensional.com/","$1M to $10M","European Investment Bank, CDP Venture Capital, EUREKA! Venture SGR, NovaCapital, Eni Next","Boldrocchi, EUREKA! Venture SGR, European Investment Bank"
"PPL","Feb 23, 2026","$2,294,000,000","Not Started","Electrical Distribution, Energy, Marketing","Allentown, Pennsylvania, United States","PPL Corporation delivers on its promises to customers, investors, employees and the communities we serve.","20,135","https://www.pplweb.com/","$1B to $10B","US Department of Energy","US Department of Energy"
"Flink","Mar 3, 2026","$1,533,349,908","Not Started","E-Commerce, Food and Beverage, Food Delivery, Grocery, Mobile Apps","Berlin, Berlin, Germany","Flink is an online startup that offers grocery deliveries in ten minutes.","20,207","https://www.goflink.com/","$100M to $500M","Cherry Ventures, Bond, Northzone, Target Global, Mubadala","Bond, Carrefour, Cherry Ventures, DoorDash, Mubadala Capital Ventures, Northzone, Prosus, Prosus Ventures, Target Global"
"Eurogrid","Feb 25, 2026","€1,505,250,000","Not Started","Electrical Distribution, Energy, Financial Services, Power Grid","Berlin, Berlin, Germany","Eurogrid offers investment in electric utility assets, including operations, support, planning and expansion services of transmission grid.","20,272","https://www.eurogrid.com/","$1M to $10M","—","—"
"Viper Energy","Mar 2, 2026","$4,725,500,000","Not Started","Energy, Mineral, Oil and Gas","Midland, Texas, United States","Viper Energy Partners engages in the provision of oil exploitation. It is to own and acquire mineral and royalty interests in oil, etc.,","20,323","https://www.viperenergy.com/","$500M to $1B","Diamondback Energy","Diamondback Energy"
"Hume Supernatural","Mar 3, 2026","$8,191,501","Not Started","Consumer Goods, Personal Health, Retail, Wellness","Encinitas, California, United States","Hume Supernatural is a personal care company that offers chemical-free deodorants.","20,390","https://humesupernatural.com/","$1M to $10M","Canter Capital","—"
"Avolon Holdings","Feb 18, 2026","$17,765,638,687","Not Started","Aerospace, Financial Services, Leasing, Space Travel","Dublin, Dublin, Ireland","Avolon is an international aircraft leasing company, headquartered in Ireland","20,418","http://avolon.aero/","$1B to $10B","Deutsche Bank, CVC Capital Partners, UBS, Crédit Agricole, Oak Hill Capital Partners","DVB Bank, ORIX Aviation, UBS"
"Next Century Spirits","Feb 17, 2026","$15,600,000","Not Started","Distillery, Food and Beverage, Wine And Spirits","Raleigh, North Carolina, United States","Next Century Spirits combines traditional distilling techniques and finishing technologies to create enhanced spirits.","20,437","https://nextcenturyspirits.com/","$1M to $10M","Sandbox Studios, Triangle Tweener Fund, Ruttenberg Gordon Investments, Blue Hill Group","Blue Hill Group"
"CNX Resources","Feb 17, 2026","$3,145,000,000","Not Started","Energy, Oil and Gas, Sustainability","Canonsburg, Pennsylvania, United States","CNX Resources is an independent natural gas exploration, development, and production company that offers a growth strategy solution.","20,452","https://www.cnx.com/","$100M to $500M","—","—"
"Gold Reserve","Feb 11, 2026","$203,308,251","Not Started","Building Material, Mining, Real Estate","Spokane, Washington, United States","Gold Reserve is a mining company that was formed for the purpose of acquiring, exploring, and developing.","20,490","http://www.goldreserveinc.com/","—","—","—"
"TWIN VEE POWERCATS CO.","Feb 19, 2026","$6,000,000","Not Started","Manufacturing, Marine Technology, Shipping","Fort Pierce, Florida, United States","Twin Vee Powercats Inc Marine Boat Builder and Tooling Company that manufactures American-made products with a highly skilled workforce.","20,633","https://twinvee.com/","$10M to $50M","—","—"
"TransDigm","Feb 10, 2026","$14,183,789,999","Not Started","Aerospace, Manufacturing","Cleveland, Ohio, United States","TransDigm makes aerospace components for commercial and military aircraft, with a focus on proprietary parts and aftermarket support.","20,666","https://www.transdigm.com/","$1B to $10B","Marble Arch Investments","Marble Arch Investments"
"Nibulon","Feb 23, 2026","€34,800,000","Not Started","Agriculture, Farming, Food and Beverage, Logistics, Sustainability","Mykolayiv, L'vivs'ka Oblast', Ukraine","Nibulon is an agricultural enterprise that specializes in the production and export of grains such as wheat, barley, and corn.","20,676","http://www.nibulon.com/","$10M to $50M","Export and Investment Fund, DEG Impulse","DEG Impulse, Export and Investment Fund"
"MedX","Feb 27, 2026","$11,051,000","Not Started","Fitness, Health Care, Medical, Wellness","North Palm Beach, Florida, United States","MedX is a healthcare company that treats lower back pain using lumbar strengthening technology.","20,687","https://medx.clinic/","Less than $1M","—","—"
"Friendship Village","Feb 6, 2026","$103,585,000","Not Started","Assisted Living, Elder Care, Health Care, Medical","Kalamazoo, Michigan, United States","Friendship Village Kalamazoo is a nonprofit senior living life plan community.","20,971","https://friendshipvillagemi.com/","$10M to $50M","Ziegler","Ziegler"
"Onalabs Inno-hub","Feb 12, 2026","$7,676,005","Not Started","Health Care, Health Diagnostics, Life Science, Medical Device","Barcelona, Catalonia, Spain","Onalabs develops remote, continuous and non-invasive bio-medical devices to improve chronic patients tracking","21,075","https://www.onalabs.com/","$1M to $10M","LvlUp Ventures, Centre for the Development of Industrial Technology (CDTI), European Commission, Barca Innovation Hub, NextGenerationEU","Barca Innovation Hub, Centre for the Development of Industrial Technology (CDTI), EIT Health, European Commission, Ministerio de Economia y Competitividad, NextGenerationEU, Startup Capital Ventures and ACCIÓ"
"NED Medical","Feb 19, 2026","$8,499,992","Not Started","Health Care, Medical, Medical Device","Norwell, Massachusetts, United States","NED Medical is a medical company that manufactures oncology embolization equipment.","21,194","https://nedmedical.com/","—","—","—"
"Panoro Energy Asa","Feb 24, 2026","$178,607,358","Not Started","Energy, Mining, Oil and Gas","Oslo, Oslo, Norway","Panoro Energy Asa is an oil and gas production and exploration company.","21,373","https://www.panoroenergy.com/","$100M to $500M","—","—"
"Galecto","Feb 10, 2026","$720,312,604","Not Started","Biotechnology, Health Care, Health Diagnostics","Copenhagen, Hovedstaden, Denmark","Galecto is a clinical stage biotechnology company focused on the development of novel treatments for fibrosis and cancer.","21,465","http://galecto.com/","$10M to $50M","Andreessen Horowitz, RA Capital Management, Wellington Management, Maverick Ventures, Cormorant Asset Management","EIR Ventures, Fairmount Funds Management, Novo Holdings, OrbiMed, Soleus Capital, Ysios Capital"
"Basilea Pharmaceutica","Feb 25, 2026","$190,987,223","Not Started","Biotechnology, Commercial, Pharmaceutical","Basel, Basel-Stadt, Switzerland","Basilea Pharmaceutica Ltd. is a commercial stage biopharmaceutical company.","21,570","http://basilea.com/","$100M to $500M","Athyrium Capital Management LP, CARB-X, U.S. Department of Health & Human Services, Biomedical Advanced Research and Development Authority (BARDA)","Athyrium Capital Management LP, Biomedical Advanced Research and Development Authority (BARDA), CARB-X, U.S. Department of Health & Human Services"
